Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_USD,PTS,TRB,AST,STL,BLK,TOV,Cost_Per_WS,Performance_Trajectory,PNS,Salary_Gap
MIKAL BRIDGES,28,NYK,SF,82,82,3036,14,0.585,0.391,0.1,2.7,7,4.9,14.4,1.2,1.3,9.7,19.6,3.7,2,5.7,0.09,0.4,-0.9,-0.5,1.2,23300000,18.5,3.3,3.3,1.2,0.5,1.6,4087719.3,Peak - Below Avg,7.265,4267728.671
JOSH HART,29,NYK,SG,77,77,2897,16.5,0.611,0.327,0.266,6.4,22.6,14.6,20.7,2,0.9,15.5,15.3,5.4,3.8,9.2,0.153,1.1,1.8,2.8,3.6,18144000,14.6,8.7,5.6,1.4,0.4,2,1972173.9,Peak - Above Avg,8.22,-12574753.72
ANTHONY EDWARDS,23,MIN,SG,79,79,2871,20.1,0.595,0.503,0.308,2.4,14.8,8.7,20.9,1.6,1.7,12,31.4,4.6,3.8,8.4,0.14,4.4,0,4.3,4.6,42176400,24.5,5.6,4,1.2,0.6,3,5021000,Rising - Above Avg,10.775,14128842.25
DEVIN BOOKER,28,PHO,SG,75,75,2795,19.3,0.589,0.388,0.34,3.1,8.9,6.1,30.6,1.2,0.5,11.9,29.3,6.1,0.3,6.4,0.111,2.8,-2.4,0.4,1.7,49205800,24.7,3.7,6.5,1.1,0.3,2.3,7688406.3,Peak - Above Avg,11.51,27836232.19
JAMES HARDEN,35,LAC,PG,79,79,2789,20,0.582,0.516,0.446,2.3,16.1,9.3,36.8,2.1,2,18,29.6,4,4.3,8.3,0.143,3.5,0.8,4.3,4.4,33653846,21.9,6.1,7.8,1.5,0.6,4.8,4054680.2,Veteran - Above Avg,11.305,5940187.749
DEMAR DEROZAN,35,SAC,SF,77,77,2768,17.7,0.569,0.196,0.337,2,10.1,6,18.7,1.1,1.1,6.5,25,5.7,1.4,7.1,0.123,1.2,-1.2,-0.1,1.3,23400000,20.8,3.9,3.9,1.4,0.4,1.5,3295774.6,Veteran - Above Avg,8.245,-306864.2874
TRAE YOUNG,26,ATL,PG,76,76,2739,18.3,0.567,0.467,0.408,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,4.4,1.3,5.7,0.1,3.3,-2.7,0.5,1.7,43031940,22.6,3.5,11.9,1.3,0.2,4.4,7549463.2,Peak - Below Avg,12.685,23999668.67
TYLER HERRO,25,MIA,SG,77,77,2725,19.7,0.605,0.486,0.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28,4.7,2.7,7.4,0.131,3.8,-0.7,3.1,3.5,29000000,24.1,5.5,5.1,0.7,0.1,2.5,3918918.9,Rising - Above Avg,10.91,4291437.222
OG ANUNOBY,27,NYK,PF,74,74,2706,15.4,0.591,0.448,0.22,4.2,11,7.6,8.5,2,2.2,8.3,19.7,3.7,2.8,6.5,0.116,0.7,0.1,0.7,1.9,36637932,16.6,4.9,2,1.5,1,1.3,5636604.9,Peak - Above Avg,5.56,14934464.69
JALEN GREEN,22,HOU,SG,82,82,2697,15.1,0.544,0.46,0.234,1.7,13.4,7.4,16,1.3,0.9,11.4,27.3,1.9,3.2,5.1,0.092,1.1,-0.5,0.5,1.7,12483048,19.6,4.4,2.5,1,0.3,2.4,2447656.5,Rising - Above Avg,8.375,-4545826.347
CHRISTIAN BRAUN,23,DEN,SG,79,77,2675,16,0.665,0.273,0.261,4.2,12.2,8.4,10.1,1.5,1.2,8.1,15.8,6.2,1.9,8,0.144,0.8,-0.5,0.3,1.6,3089640,14.1,4.8,2.2,1.2,0.6,1.1,386205,Rising - Above Avg,6.425,-23622319.76
BAM ADEBAYO,27,MIA,C,78,78,2674,18.9,0.561,0.199,0.295,7.7,23.1,15.5,20,1.8,1.9,11.4,23.5,3.5,4,7.5,0.135,1,1,2,2.7,34848340,16.5,9.8,4.8,1.4,0.8,2.2,4646445.3,Peak - Above Avg,7.18,9805877.725
IVICA ZUBAC,27,LAC,C,80,80,2624,22.3,0.641,0,0.251,13.1,30.2,21.8,12.8,1,3.4,10.8,19.5,7,4.7,11.7,0.215,2.3,0.8,3.1,3.4,11743210,14.9,12.4,2.5,0.7,1,1.8,1003693.2,Peak - Above Avg,7.725,-27323031.15
JAYSON TATUM,26,BOS,PF,72,72,2624,21.7,0.582,0.497,0.3,2,23.7,12.9,27,1.5,1.3,11.2,31.2,5.3,4.2,9.5,0.174,4.4,0.8,5.2,4.8,34848340,28.2,9.4,5.6,1.3,0.4,2.8,3668246.3,Peak - Above Avg,9.245,3127887.784
JADEN MCDANIELS,24,MIN,PF,82,82,2614,13.3,0.562,0.363,0.153,5.6,14.2,10,9,2.1,2.6,9.6,16.3,2.3,3.9,6.3,0.115,-1.4,1.4,0,1.4,23017242,9.9,4.7,1.6,1.3,0.7,1.2,3653530.5,Rising - Above Avg,4.03,1981573.689
KEEGAN MURRAY,24,SAC,PF,76,76,2610,12,0.553,0.548,0.088,6.3,15.5,10.9,5.6,1.1,2.6,6.6,15,2.4,2.1,4.4,0.082,-0.8,-0.8,-1.6,0.2,8809560,11.6,7.4,1.4,0.7,0.8,1,2002172.7,Rising - Above Avg,5.255,-5882017.868
ZACH LAVINE,29,TOT,SG,74,74,2602,17.3,0.639,0.438,0.233,0.9,12,6.5,18.3,1.1,0.4,13.4,25.3,3.7,1.4,5.1,0.094,2.3,-1.6,0.7,1.8,44531940,22.3,4.4,4.3,0.9,0.3,3,8731752.9,Peak - Below Avg,9.93,27503065.65
SHAI GILGEOUS-ALEXANDER,26,OKC,PG,76,76,2598,30.7,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3,8.6,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,35859950,31.2,5.4,6.1,2,1.1,2.6,2147302.4,Peak - Above Avg,13.995,-19901266
